id	label	type	StartTime	EndTime	Location	LatLng	Description	Year	PublicationVenue
1	B.E.	Education	9/1/03	6/1/07	Wuhan University	"30.539117, 114.355161"	Bachelor of Engineering in Geomatics. Graduated top 5%.		
2	Minor in B.S.	Education	9/1/04	6/1/06	Wuhan University	"30.539117, 114.355161"	Minor degree in project management		
3	M.S.	Education	9/1/07	6/1/10	"Institute of Remote Sensing Application, Chinese Academy of Sciences"	"40.006084, 116.384803"	Thesis: A web-based expert system for remote sensing image interpretation of earthquake hazard </br> Thesis advisor: Yalan Liu		
4	Ph.D	Education	8/25/10	7/20/17	"Department of Geography, University of Iowa"	"41.661879, -91.536511"	"Thesis: Modeling space-time activities and places for a smart environment -- a semantic approach </br> Thesis advisors: Kathleen Stewart , David Bennett </br> Thesis committee: Kathleen Stewart, David Bennett, Mark Armstrong, James Tamerius, ShihLung Shaw, Caglar Koylu"		
5	M.S.	Education	8/25/12	12/20/15	"Department of Computer Science, University of Iowa"	"41.660716, -91.536532"	"Master of Computer Science , Emphasis in data mining"		
6	AAG Health Data Visualization Award	Honor and awards	4/15/20		"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Winner of Health and Medical Geography Specialty Group Health Data Visualization Contest at AAG 2020	Apr-20	
7	Travel Award	Honor and awards	7/1/16		University of Iowa	"41.661163, -91.536317"	Graduate student travel award	Jul-16	
8	Presentation Award	Honor and awards	9/30/16		University of Iowa	"41.661163, -91.536317"	Graduate student presentation award from CGRER	Sep-16	
9	Travel Award	Honor and awards	7/1/15		University of Iowa	"41.661163, -91.536317"	Graduate student travel award	Jul-15	
10	Presentation Award	Honor and awards	9/30/15		University of Iowa	"41.661163, -91.536317"	Graduate student presentation award from CGRER	Sep-15	
11	Best Paper Award	Honor and awards	7/10/15		George Mason University	"38.832908, -77.308451"	Best paper award in International Symposium on Spatiotemporal Computing	Jul-15	
12	Outstanding Public Service	Honor and awards	10/10/11		University of Iowa	"41.661163, -91.536317"	Certificate for outstanding public service through SPEC	Oct-11	
13	National Academic Scholarship	Honor and awards	3/1/07		Wuhan University	"30.539117, 114.355161"	National scholarship for outstanding academic performance (Top 3%)	Mar-07	
14	Outstanding Volunteer	Honor and awards	10/1/06		Wuhan University	"30.539117, 114.355161"	Outstanding youth volunteer of Hubei Province	Oct-06	
15	Academic Scholarship	Honor and awards	3/1/06		Wuhan University	"30.539117, 114.355161"	Excellent academic performance scholarship (Top 10%)	Mar-06	
16	Academic Scholarship	Honor and awards	3/1/05		Wuhan University	"30.539117, 114.355161"	Excellent academic performance scholarship (Top 10%)	Mar-05	
17	Object-oriented Programming for GIS	Teaching	8/26/19	12/15/19	"Department of Geography, University of Maryland"	"38.983657, -76.94366"	GIS Programming Courses for Senior undergraduate students (GEOG476)		
18	Advanced GIS and Spatial Analysis	Teaching	1/24/18	5/14/18	"Department of Geography, University of Maryland"	"38.983657, -76.94366"	GIS Courses for Senior undergraduate students (GEOG473)		
19	Open Source GIS and Web Mapping	Teaching	1/8/18	1/15/18	"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Winter Course for Gradudate Students (GEOG788O)		
20	Graduate Teaching Assistant	Teaching	8/25/12	5/15/13	"Department of Geography, University of Iowa"	"41.661879, -91.536511"	Teaching assistant for Foundation of GIS (GEOG 1050)		
21	Guest Lecture	Teaching	5/2/16		"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Guest lecture on GeoSPARQL and Linked Data for Spatial Database course (GEOG373)	May-16	
22	Guest Lecture	Teaching	9/13/17		"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Guest lecture on data visualization (GEOG475)	Sep-17	
23	RAPID: Using big passively collected location-based data to model mobility pattern changes during the COVID-19 outbreak	Research	4/1/20	4/10/21	"Department of Geography, University of Maryland"	"38.983657, -76.94366"	<li>Use big mobile data analytics to understand import of COVID-19 on human mobility pattern</li>		
24	Understanding Human Mobility Pattern from Big Mobile Device Data	Research	1/1/18	9/20/19	"Department of Geography, University of Maryland"	"38.983657, -76.94366"	<li> Develop Data Analytics and Modeling Methods for Tracking and Predicting Origin-Destination Travel Trends based on Big Mobile Device Data </li>		
25	Technical Support for Freight Demand and ITS Analysis Phase 1: Long-Haul Truck Parking Demand in Maryland	Research	8/1/18	12/20/18	"Department of Geography, University of Maryland"	"38.983657, -76.94366"	<li> Spatiotemporal Analytics of Long-Haul Truck Parking Demand using GPS Trajectory Data </li>		
26	VMT Estimation based on Big GPS Trajectory Data	Research	7/1/17	12/10/18	"Department of Geography, University of Maryland"	"38.983657, -76.94366"	<li>Develop big GPS trajectory data analytic module to reconstruct vehicle trips from GPS waypoints</li> <li>Analyze VMT on roads with different functional classes</li>		
27	Driving Behavior Modeling based on GPS Trajectories	Research	3/10/17	8/10/18	"Department of Geography, University of Maryland"	"38.983657, -76.94366"	<li> Develop analytic module detect driving behavior change from big GPS trajectory data in response to geospatial events </li>		
28	Naturalistic Driving Behavior Modeling	Research	8/1/14	12/31/15	"Department of Geography, University of Iowa"	"41.661879, -91.536511"	<li>Design a geospatial semantic model for naturalistic driving behavior</li><li>developed a spatiotemporal analytical framework to identify and analyze naturalistic parking behavior from big vehicle GPS trajectory data. </li>		
29	Mining Natural Hazard Dynamics from Wikipedia	Research	5/20/13	8/1/14	"Department of Geography, University of Iowa"	"41.661879, -91.536511"	<li>Developed analytic framwork to identify wildfire dynamics at different places from geo-tagged Wikipedia corpus </li>		
30	Modeling Image Semantics with Geospatial Ontology	Research	5/20/11	8/1/12	"Department of Geography, University of Iowa"	"41.661879, -91.536511"	<li>Design geospatial ontology for geographic knowledge representation of image semantics</li><li>Develop a geospatial semantic reasoning module to test the effectiveness of the ontology</li>		
31	Building Flood Risk Modeling and Prediction	Research	8/20/10	5/15/11	"Department of Geography, University of Iowa"	"41.661879, -91.536511"	<li> Designed and developed a web-based spatial decision support system for University of Iowa facility management office to help them manage campus building evacuation during flood season </li>		
32	Feature Database for Hazard Interpretation	Research	7/1/08	6/10/10	"Institute of Remote Sensing Application, Chinese Academy of Sciences"	"40.006084, 116.384803"	<li> Design and Develop expert knowledge database for earthquake hazard interpretation on high resolution remote sensing image. </li>		
33	"(Thakur et al., 2020)"	Publication	11/9/20		ORNL	"35.9311,-84.309"	COVID-19 Joint Pandemic Modeling and Analysis Platform.	2020	"Proceedings of the 1st ACM SIGSPATIAL International Workshop on Modeling and Understanding the Spread of COVID-19 (COVID-19). ACM, New York, NY, USA, 43–52. DOI:https://doi.org/10.1145/3423459.3430760"
34	"(Kreuter et al., 2020)"	Publication	6/1/20		"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Partnering with a global platform to inform research and public policy making.	2020	"Survey Research Methods,14(2), 159-163."
35	"(Fan et al., 2019)"	Publication	6/23/19		"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Using Big GPS Trajectory Data Analytics for Vehicle Miles Traveled Estimation.	2019	"Transportation Research Part C: Emerging Technologies. 103, 298-307."
36	"(Nasri et al.,2019)"	Publication	4/15/19		"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Advanced Vehicle Miles Traveled (VMT) Estimation methods for Non Federal-Aid System (NFAS) Roadways Using GPS Vehicle Trajectory Data and Statistical power Analysis.	2019	"Transportation Research Record, 0361198119850790"
37	"(Xiong et al.,2018)"	Publication	8/10/18		"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Analyzing Travelers’ Response to Different Active Traffic Management (ATM) Technologies (Report No. SP709B4K)	2018	Retrieved from https://trid.trb.org/view/1563606
38	"(Stewart & Fan, 2018)"	Publication	1/10/18		"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Geospatial Analysis of Residential Parking Behaviors Using a Semantic Modeling Approach.	2018	"Travel Behaviour and Society,9-20."
39	"(Fan & Stewart, 2018)"	Publication	4/10/18		"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Modeling Mobility and Dynamics of Scheduled Space-time Activities –-- an RDF Approach.	2018	"In Human Dynamics Research in Smart and Connected Communities.(pp. 81-105). Springer, Cham."
